tail_number,checkTypeCode,scheduleStart,airport,status,scheduleEnd
CSTTB,T2,05/09/2009 23:45,LIS,S,06/09/2009 02:15
CSTJF,T1,05/09/2009 23:45,LIS,S,06/09/2009 03:30
CSTTJ,T2,05/09/2009 23:45,LIS,S,06/09/2009 04:15
CSTTF,T1,05/09/2009 23:59,BCN,S,06/09/2009 01:29
CSTMW,T1,05/09/2009 23:59,ORY,S,06/09/2009 02:00
CSTNG,T1,05/09/2009 23:59,LHR,S,06/09/2009 02:00
CSTNJ,T1,05/09/2009 23:59,FRA,S,06/09/2009 02:00
CSTNL,T1,05/09/2009 23:59,MUC,S,06/09/2009 02:00
FRAJB,PURGAS,06/09/2009 00:00,CDG,S,06/09/2009 02:00
CSTKJ,36,06/09/2009 00:30,LIS,S,06/09/2009 03:30
CSTKM,36,06/09/2009 00:45,LIS,S,06/09/2009 02:45
CSTKK,36,06/09/2009 01:00,PDL,S,06/09/2009 04:15
CSTDI,PURGAS,06/09/2009 02:00,LIS,S,06/09/2009 03:30
FRAJB,T2,06/09/2009 03:00,CDG,S,06/09/2009 07:00
CSTTP,RIB_5,06/09/2009 03:30,OPO,S,06/09/2009 04:40
CSTDI,T1+ET,06/09/2009 04:00,LIS,S,06/09/2009 07:00
CSTQK,T1,06/09/2009 05:00,LIS,S,06/09/2009 06:00
CSTOH,T2+ET,06/09/2009 05:25,LIS,S,06/09/2009 08:20
CSTON,T1,06/09/2009 05:30,LIS,S,06/09/2009 08:00
CSTOI,T1+ET,06/09/2009 06:00,LIS,S,06/09/2009 08:00
CSTOA,T1,06/09/2009 06:10,LIS,S,06/09/2009 08:35
CSTOP,T1+ET,06/09/2009 06:15,LIS,S,06/09/2009 08:15
CSTOJ,T1,06/09/2009 06:30,LIS,S,06/09/2009 09:40
CSTQD,VT,06/09/2009 06:45,LIS,S,06/09/2009 07:40
CSTKI,T1,06/09/2009 07:15,LIS,S,06/09/2009 09:30
CSTOM,T1+ET,06/09/2009 07:50,OPO,S,06/09/2009 09:45
CSTOC,T1,06/09/2009 08:15,LIS,S,06/09/2009 10:15
CSTJG,VT,06/09/2009 08:16,LIS,S,06/09/2009 08:59
CSTOF,T1+ET,06/09/2009 08:30,LIS,S,06/09/2009 09:30
CSTTC,T2,06/09/2009 08:30,LIS,S,06/09/2009 12:10
CSTOK,T1+ET,06/09/2009 09:15,LIS,S,06/09/2009 10:00
CSTEJ,T1+ET,06/09/2009 09:55,LIS,S,06/09/2009 11:55
CSTNG,VT,06/09/2009 10:00,LIS,S,06/09/2009 10:35
CSTOO,T1+ET,06/09/2009 10:25,LIS,S,06/09/2009 12:25
CSTOO,PURGAS,06/09/2009 10:30,LIS,S,06/09/2009 11:55
CSTOL,T1+ET,06/09/2009 11:40,LIS,S,06/09/2009 13:30
CSTOE,T1+ET,06/09/2009 12:00,LIS,S,06/09/2009 14:00
CSTTN,T2,06/09/2009 12:30,LIS,S,06/09/2009 13:45
CSTGU,36+ET,06/09/2009 12:45,LIS,S,06/09/2009 14:15
CSTGV,36,06/09/2009 13:20,OPO,S,06/09/2009 15:30
CSTQD,VT,06/09/2009 14:10,LIS,S,06/09/2009 14:40
CSTOD,T1,06/09/2009 14:50,LIS,S,06/09/2009 16:30
CSTOG,T1+ET,06/09/2009 16:00,LIS,S,06/09/2009 18:00
CSTOB,T1,06/09/2009 17:30,LIS,S,06/09/2009 19:30
CSTEB,T2+2,06/09/2009 18:00,LIS,S,06/09/2009 21:00
CSTOB,MESLOT,06/09/2009 18:00,LIS,S,07/09/2009 08:30
CSTDI,T1+ET,06/09/2009 20:00,LIS,S,06/09/2009 22:00
CSTJF,T1,06/09/2009 20:05,LIS,S,06/09/2009 20:55
CSTNQ,T1,06/09/2009 20:05,LIS,S,06/09/2009 21:15
CSTKN,36+ET,06/09/2009 20:10,PDL,S,06/09/2009 20:50
CSTJG,T1,06/09/2009 20:15,LIS,S,06/09/2009 20:55
CSTNP,T1,06/09/2009 20:15,LIS,S,06/09/2009 21:05
CSTTM,T1,06/09/2009 21:00,LIS,S,07/09/2009 03:30
CSTNA,A,06/09/2009 21:00,LIS,S,07/09/2009 17:15
CSTTP,T1,06/09/2009 22:00,LIS,S,07/09/2009 02:00
CSTTL,T2,06/09/2009 22:00,LIS,S,07/09/2009 02:30
CSTNI,T1,06/09/2009 22:30,LIS,S,07/09/2009 05:00
CSTTE,T2,06/09/2009 22:45,LIS,S,07/09/2009 04:15
CSTNK,T2,06/09/2009 23:00,OPO,S,07/09/2009 02:00
CSTTF,T1,06/09/2009 23:30,BRU,S,07/09/2009 01:00
CSTTD,T1,06/09/2009 23:45,CDG,S,07/09/2009 01:15
CSTTJ,T1,06/09/2009 23:45,BCN,S,07/09/2009 01:15
CSTNB,T1,06/09/2009 23:45,ORY,S,07/09/2009 01:15
CSTNE,T1,06/09/2009 23:45,FRA,S,07/09/2009 01:15
CSTTA,T1,06/09/2009 23:45,ORY,S,07/09/2009 01:15
CSTTB,T1,06/09/2009 23:45,LIS,S,07/09/2009 01:15
CSTTC,T1,06/09/2009 23:45,ZRH,S,07/09/2009 01:15
CSTTH,T1,06/09/2009 23:45,FAO,S,07/09/2009 01:15
CSTTQ,T1,06/09/2009 23:45,CPH,S,07/09/2009 01:15
CSTTR,T1,06/09/2009 23:45,HAM,S,07/09/2009 01:15
CSTTS,T1,06/09/2009 23:45,GVA,S,07/09/2009 01:15
CSTNL,T1,06/09/2009 23:45,LHR,S,07/09/2009 01:15
CSTNJ,T1,06/09/2009 23:45,WAW,S,07/09/2009 01:15
CSTNM,T1,06/09/2009 23:45,FCO,S,07/09/2009 01:15
CSTNH,T1,06/09/2009 23:45,AMS,S,07/09/2009 01:15
CSTNN,T1,06/09/2009 23:45,MAD,S,07/09/2009 01:15
CSTNR,T1,06/09/2009 23:45,LIN,S,07/09/2009 01:15
CSTQD,T1,06/09/2009 23:45,MUC,S,07/09/2009 01:15
CSTNG,T1,06/09/2009 23:45,LHR,S,07/09/2009 01:15
CSTTI,T1,06/09/2009 23:45,FNC,S,07/09/2009 01:15
CSTMW,T1,07/09/2009 00:05,LIS,S,07/09/2009 05:00
CSTTK,T1,07/09/2009 00:30,LIS,S,07/09/2009 02:30
CSTKL,36,07/09/2009 01:00,FNC,S,07/09/2009 03:00
CSTKM,36,07/09/2009 01:00,LIS,S,07/09/2009 03:00
CSTTO,T1,07/09/2009 01:30,FNC,S,07/09/2009 03:00
CSTJE,T1,07/09/2009 02:00,FNC,S,07/09/2009 04:00
CSTKK,36,07/09/2009 03:00,PDL,S,07/09/2009 05:00
CSTTG,T1,07/09/2009 03:30,OPO,S,07/09/2009 05:00
CSTQK,T1,07/09/2009 04:00,LIS,S,07/09/2009 05:30
CSTTP,RIB_5,07/09/2009 05:00,LIS,S,07/09/2009 06:00
CSTOI,T1+ET,07/09/2009 05:10,LIS,S,07/09/2009 08:30
CSTOJ,T1+ET,07/09/2009 05:30,LIS,S,07/09/2009 08:30
CSTOC,T1,07/09/2009 06:00,LIS,S,07/09/2009 07:00
CSTON,T1+ET,07/09/2009 06:00,LIS,S,07/09/2009 10:00
CSTOH,A,07/09/2009 06:05,LIS,S,08/09/2009 23:59
CSTOP,T1+ET,07/09/2009 06:15,LIS,S,07/09/2009 08:00
CSTOF,T1+ET,07/09/2009 06:45,LIS,S,07/09/2009 08:45
CSTGU,36+ET,07/09/2009 06:45,TER,S,07/09/2009 08:45
CSTOO,T1+ET,07/09/2009 06:50,LIS,S,07/09/2009 08:30
CSTEJ,T1+ET,07/09/2009 07:00,LIS,S,07/09/2009 09:00
CSTOC,PURGAS,07/09/2009 07:05,LIS,S,07/09/2009 08:10
CSTTF,T2,07/09/2009 07:10,LIS,S,07/09/2009 08:30
CSTOF,VT,07/09/2009 08:00,LIS,S,07/09/2009 09:00
CSTOM,T1+ET,07/09/2009 08:00,OPO,S,07/09/2009 10:00
CSTKI,T1+ET,07/09/2009 08:00,LIS,S,07/09/2009 10:30
CSTNB,VT,07/09/2009 08:10,LIS,S,07/09/2009 09:00
CSTOA,T1,07/09/2009 08:15,LIS,S,07/09/2009 09:30
CSTOB,VT,07/09/2009 09:00,LIS,S,07/09/2009 12:00
CSTOA,PURGAS,07/09/2009 09:35,LIS,S,07/09/2009 10:30
CSTGV,36+ET,07/09/2009 10:00,LIS,S,07/09/2009 12:00
CSTOG,T1+ET,07/09/2009 11:00,LIS,S,07/09/2009 14:00
CSTTN,VT,07/09/2009 11:35,LIS,S,07/09/2009 12:10
CSTOL,T1+ET,07/09/2009 11:50,LIS,S,07/09/2009 13:50
CSTOE,T1+ET,07/09/2009 12:00,LIS,S,07/09/2009 14:00
CSTOB,MESLOT,07/09/2009 12:05,LIS,S,07/09/2009 18:55
CSTOK,T1+ET,07/09/2009 13:00,LIS,S,07/09/2009 14:55
CSTDI,T1,07/09/2009 13:00,LIS,S,07/09/2009 15:00
CSTKJ,36,07/09/2009 13:30,OPO,S,07/09/2009 15:30
CSTOD,T1,07/09/2009 15:00,LIS,S,07/09/2009 17:00
CSTNE,T2,07/09/2009 15:46,LIS,S,07/09/2009 17:30
CSTTR,VT,07/09/2009 16:05,LIS,S,07/09/2009 17:55
FRAJA,T1,07/09/2009 17:00,BSB,S,07/09/2009 22:00
CSTTN,VT,07/09/2009 18:20,LIS,S,07/09/2009 18:45
CSTOB,T1,07/09/2009 19:00,LIS,S,07/09/2009 21:00
CSTTE,T1,07/09/2009 19:56,LIS,S,07/09/2009 21:09
CSTNM,VT,07/09/2009 20:00,LIS,S,07/09/2009 20:40
CSTJF,T1,07/09/2009 20:05,LIS,S,07/09/2009 20:55
CSTTC,T1,07/09/2009 20:10,LIS,S,07/09/2009 21:05
CSTJG,T1,07/09/2009 22:00,LIS,S,08/09/2009 01:15
CSTNM,T1,07/09/2009 23:00,FNC,S,08/09/2009 02:30
CSTTB,T1,07/09/2009 23:45,OPO,S,08/09/2009 01:15
CSTTA,T1,07/09/2009 23:45,ORY,S,08/09/2009 01:15
CSTTF,T1,07/09/2009 23:45,CDG,S,08/09/2009 01:15
CSTTI,T1,07/09/2009 23:45,FNC,S,08/09/2009 01:15
CSTTK,T1,07/09/2009 23:45,MAD,S,08/09/2009 01:15
CSTTL,T1,07/09/2009 23:45,GVA,S,08/09/2009 01:15
CSTTN,T1,07/09/2009 23:45,BRU,S,08/09/2009 01:15
CSTTO,T1,07/09/2009 23:45,BCN,S,08/09/2009 01:15
CSTTP,T1,07/09/2009 23:45,FRA,S,08/09/2009 01:15
CSTTQ,T1,07/09/2009 23:45,ORY,S,08/09/2009 01:15
CSTTR,T1,07/09/2009 23:45,ZRH,S,08/09/2009 01:15
CSTMW,T1,07/09/2009 23:45,FAO,S,08/09/2009 01:15
CSTNI,T1,07/09/2009 23:45,HAM,S,08/09/2009 01:15
CSTNN,T1,07/09/2009 23:45,AMS,S,08/09/2009 01:15
CSTNP,T1,07/09/2009 23:45,OPO,S,08/09/2009 01:15
CSTNQ,T1,07/09/2009 23:45,MUC,S,08/09/2009 01:15
CSTQD,T1,07/09/2009 23:45,LIS,S,08/09/2009 01:15
CSTJE,T1,07/09/2009 23:45,LIS,S,08/09/2009 01:15
CSTNR,T1,07/09/2009 23:45,FCO,S,08/09/2009 01:15
CSTNE,T1,07/09/2009 23:45,LHR,S,08/09/2009 01:15
CSTNH,T1,07/09/2009 23:45,LHR,S,08/09/2009 01:15
CSTTM,T1,07/09/2009 23:45,CPH,S,08/09/2009 01:15
CSTNB,T1,07/09/2009 23:45,LIN,S,08/09/2009 01:15
CSTTD,T1,07/09/2009 23:45,LIS,S,08/09/2009 01:15
CSTNG,T2,07/09/2009 23:45,LIS,S,08/09/2009 02:15
CSTNK,T1,07/09/2009 23:45,LIS,S,08/09/2009 02:15
CSTTS,T1,07/09/2009 23:45,LIS,S,08/09/2009 03:15
CSTNJ,T1,07/09/2009 23:45,LIS,S,08/09/2009 05:00
CSTNL,T1,07/09/2009 23:45,LIS,S,08/09/2009 05:00
CSTTH,T2,08/09/2009 00:00,FNC,S,08/09/2009 02:30
CSTTJ,A,08/09/2009 00:00,LIS,S,10/09/2009 23:59
CSTTG,T2,08/09/2009 00:30,LIS,S,08/09/2009 03:00
CSTKL,36,08/09/2009 01:00,FNC,S,08/09/2009 03:00
CSTKJ,36,08/09/2009 02:00,OPO,S,08/09/2009 06:00
CSTKN,VT,08/09/2009 02:00,LIS,S,09/09/2009 16:00
CSTEJ,PURGAS,08/09/2009 04:00,LIS,S,08/09/2009 06:00
CSTKK,36,08/09/2009 05:15,PDL,S,08/09/2009 07:15
CSTOJ,T1+ET,08/09/2009 05:25,LIS,S,08/09/2009 08:30
CSTOA,T1,08/09/2009 05:30,LIS,S,08/09/2009 07:30
CSTOF,A,08/09/2009 05:40,LIS,S,09/09/2009 12:00
CSTOO,T1+ET,08/09/2009 06:05,LIS,S,08/09/2009 08:00
CSTOI,T1+ET,08/09/2009 06:15,LIS,S,08/09/2009 08:15
CSTEJ,T1+ET,08/09/2009 07:00,LIS,S,08/09/2009 09:00
CSTON,T1+ET,08/09/2009 07:15,LIS,S,08/09/2009 09:15
CSTOE,T1+ET,08/09/2009 07:20,LIS,S,08/09/2009 09:15
CSTNQ,VT,08/09/2009 07:26,LIS,S,08/09/2009 08:24
CSTOP,T1+ET,08/09/2009 08:50,LIS,S,08/09/2009 09:25
CSTOP,PURGAS,08/09/2009 09:30,LIS,S,08/09/2009 10:30
CSTKI,T1+ET,08/09/2009 10:00,LIS,S,08/09/2009 13:00
FRAJB,T1,08/09/2009 11:00,CAY,S,08/09/2009 13:00
CSTKM,W+ET,08/09/2009 11:00,LIS,S,08/09/2009 14:00
CSTGV,36+ET,08/09/2009 11:15,LIS,S,08/09/2009 13:15
CSTOK,T1+ET,08/09/2009 11:15,LIS,S,08/09/2009 13:15
CSTOG,T1+ET,08/09/2009 11:30,LIS,S,08/09/2009 12:45
CSTOL,T1+ET,08/09/2009 11:40,LIS,S,08/09/2009 14:00
CSTTD,A,08/09/2009 11:40,LIS,S,09/09/2009 16:00
CSTOC,T1,08/09/2009 11:45,LIS,S,08/09/2009 15:45
CSTGU,36+ET,08/09/2009 12:00,TER,S,08/09/2009 15:40
CSTOG,PURGAS,08/09/2009 12:50,LIS,S,08/09/2009 13:55
CSTTK,T2,08/09/2009 12:55,LIS,S,08/09/2009 14:10
CSTKI,PURGAS,08/09/2009 14:00,LIS,S,08/09/2009 16:00
CSTJE,T2,08/09/2009 14:00,LIS,S,09/09/2009 04:00
CSTQK,T1,08/09/2009 14:30,LIS,S,08/09/2009 16:00
CSTOB,PURGAS,08/09/2009 15:00,LIS,S,08/09/2009 17:00
CSTNB,T2,08/09/2009 15:30,LIS,S,08/09/2009 17:30
CSTTA,T2,08/09/2009 15:30,LIS,S,08/09/2009 18:00
CSTTL,VT,08/09/2009 16:05,LIS,S,08/09/2009 18:00
CSTTP,RIB_5,08/09/2009 16:45,LIS,S,08/09/2009 17:10
CSTOB,VT,08/09/2009 17:15,LIS,S,08/09/2009 18:45
CSTOD,T2,08/09/2009 18:00,LIS,S,09/09/2009 03:00
CSTOB,T2,08/09/2009 19:00,LIS,S,08/09/2009 21:00
CSTTO,VT,08/09/2009 19:45,LIS,S,08/09/2009 20:30
CSTQD,T1,08/09/2009 20:05,LIS,S,08/09/2009 20:45
CSTTN,T1,08/09/2009 20:15,LIS,S,08/09/2009 21:05
CSTTG,T1,08/09/2009 20:25,LIS,S,08/09/2009 21:05
CSTTE,T1,08/09/2009 21:45,LIS,S,09/09/2009 01:15
CSTNH,T2,08/09/2009 21:45,LIS,S,09/09/2009 02:15
CSTNR,T2,08/09/2009 22:00,LIS,S,09/09/2009 02:00
CSTNM,T2,08/09/2009 22:00,LIS,S,09/09/2009 02:30
CSTQK,T1,08/09/2009 22:15,LIS,S,08/09/2009 23:45
CSTNP,T2,08/09/2009 23:30,LIS,S,09/09/2009 02:00
CSTOD,VT,08/09/2009 23:30,LIS,S,11/09/2009 03:30
CSTTH,T1,08/09/2009 23:45,CDG,S,09/09/2009 01:15
CSTNB,T1,08/09/2009 23:45,ORY,S,09/09/2009 01:15
CSTTA,T1,08/09/2009 23:45,BRU,S,09/09/2009 01:15
CSTTK,T1,08/09/2009 23:45,MAD,S,09/09/2009 01:15
CSTJE,T1,08/09/2009 23:45,FNC,S,09/09/2009 01:15
CSTMW,T1,08/09/2009 23:45,FCO,S,09/09/2009 01:15
CSTNA,T1,08/09/2009 23:45,LIS,S,09/09/2009 01:15
CSTNE,T1,08/09/2009 23:45,LHR,S,09/09/2009 01:15
CSTNG,T1,08/09/2009 23:45,LIS,S,09/09/2009 01:15
CSTNI,T1,08/09/2009 23:45,AMS,S,09/09/2009 01:15
CSTNJ,T1,08/09/2009 23:45,OPO,S,09/09/2009 01:15
CSTNK,T1,08/09/2009 23:45,WAW,S,09/09/2009 01:15
CSTNL,T1,08/09/2009 23:45,LHR,S,09/09/2009 01:15
CSTNN,T1,08/09/2009 23:45,HAM,S,09/09/2009 01:15
CSTNQ,T1,08/09/2009 23:45,MUC,S,09/09/2009 01:15
CSTJF,T1,08/09/2009 23:45,LIS,S,09/09/2009 01:15
CSTTB,T1,08/09/2009 23:45,OPO,S,09/09/2009 01:15
CSTTC,T1,08/09/2009 23:45,GVA,S,09/09/2009 01:15
CSTTF,T1,08/09/2009 23:45,BCN,S,09/09/2009 01:15
CSTTI,T1,08/09/2009 23:45,FNC,S,09/09/2009 01:15
CSTTL,T1,08/09/2009 23:45,FRA,S,09/09/2009 01:15
CSTTM,T1,08/09/2009 23:45,ZRH,S,09/09/2009 01:15
CSTTO,T1,08/09/2009 23:45,FNC,S,09/09/2009 01:15
CSTTR,T1,08/09/2009 23:45,LIN,S,09/09/2009 01:15
CSTTQ,T1,08/09/2009 23:45,ORY,S,09/09/2009 01:15
CSTTS,T1,08/09/2009 23:45,FAO,S,09/09/2009 01:15
CSTJG,T1,08/09/2009 23:45,LIS,S,09/09/2009 02:00
CSTTP,T1,08/09/2009 23:45,LIS,S,09/09/2009 03:15
CSTOH,C,09/09/2009 00:00,LIS,S,29/09/2009 08:55
CSTOM,PURGAS,09/09/2009 00:30,OPO,S,09/09/2009 02:30
CSTKL,36,09/09/2009 02:00,LIS,S,09/09/2009 04:00
CSTKK,36,09/09/2009 03:00,PDL,S,09/09/2009 05:00
CSTEJ,T2+ET,09/09/2009 04:30,LIS,S,09/09/2009 08:30
CSTOM,T1+ET,09/09/2009 05:00,OPO,S,09/09/2009 09:00
CSTON,T1+ET,09/09/2009 05:20,LIS,S,09/09/2009 08:50
CSTOI,T1+ET,09/09/2009 06:00,LIS,S,09/09/2009 08:00
CSTOG,T1+ET,09/09/2009 06:25,LIS,S,09/09/2009 08:40
CSTOJ,T2+ET,09/09/2009 06:55,LIS,S,09/09/2009 10:15
CSTOK,PURGAS,09/09/2009 07:05,LIS,S,09/09/2009 07:45
CSTOP,T1+ET,09/09/2009 07:15,LIS,S,09/09/2009 08:45
CSTOA,T2,09/09/2009 07:15,LIS,S,09/09/2009 09:00
CSTOK,T1+ET,09/09/2009 07:50,LIS,S,09/09/2009 08:20
CSTGU,36+ET,09/09/2009 08:00,OPO,S,09/09/2009 14:00
CSTKJ,36,09/09/2009 09:00,FNC,S,09/09/2009 11:00
CSTOO,T1+ET,09/09/2009 10:45,LIS,S,09/09/2009 12:45
CSTOL,T1+ET,09/09/2009 11:30,LIS,S,09/09/2009 13:30
CSTOE,A,09/09/2009 12:00,LIS,S,11/09/2009 20:30
CSTQD,T2,09/09/2009 13:00,LIS,S,09/09/2009 15:00
CSTOB,T1,09/09/2009 15:00,LIS,S,09/09/2009 18:00
CSTKN,36,09/09/2009 16:35,LIS,S,09/09/2009 17:55
CSTNI,T2,09/09/2009 17:00,LIS,S,09/09/2009 18:40
CSTKK,36,09/09/2009 17:15,PDL,S,09/09/2009 17:55
CSTEJ,T1,09/09/2009 18:00,LIS,S,09/09/2009 21:00
FRAJB,T1,09/09/2009 19:30,CAY,S,09/09/2009 21:30
CSTOC,T2,09/09/2009 20:00,LIS,S,09/09/2009 23:00
CSTTP,RIB_5,09/09/2009 20:01,LIS,S,09/09/2009 20:29
CSTJE,T1,09/09/2009 20:05,LIS,S,09/09/2009 20:55
CSTTB,T1,09/09/2009 20:15,LIS,S,09/09/2009 21:00
CSTTN,VT,09/09/2009 20:25,LIS,S,09/09/2009 20:40
CSTTP,T1,09/09/2009 20:30,LIS,S,09/09/2009 20:55
CSTNL,T2,09/09/2009 23:15,LIS,S,10/09/2009 03:00
CSTTC,T1,09/09/2009 23:45,LHR,S,10/09/2009 01:15
CSTTE,T1,09/09/2009 23:45,FRA,S,10/09/2009 01:15
CSTTG,T1,09/09/2009 23:45,CPH,S,10/09/2009 01:15
CSTTK,T1,09/09/2009 23:45,ZRH,S,10/09/2009 01:15
CSTTM,T1,09/09/2009 23:45,BCN,S,10/09/2009 01:15
CSTTH,T1,09/09/2009 23:45,MUC,S,10/09/2009 01:15
CSTTL,T1,09/09/2009 23:45,BRU,S,10/09/2009 01:15
CSTTN,T1,09/09/2009 23:45,OPO,S,10/09/2009 01:15
CSTTO,T1,09/09/2009 23:45,LIN,S,10/09/2009 01:15
CSTTQ,T1,09/09/2009 23:45,ORY,S,10/09/2009 01:15
CSTTS,T1,09/09/2009 23:45,FNC,S,10/09/2009 01:15
CSTMW,T1,09/09/2009 23:45,HAM,S,10/09/2009 01:15
CSTNA,T1,09/09/2009 23:45,FAO,S,10/09/2009 01:15
CSTNB,T1,09/09/2009 23:45,AMS,S,10/09/2009 01:15
CSTNE,T1,09/09/2009 23:45,CDG,S,10/09/2009 01:15
CSTNG,T1,09/09/2009 23:45,OPO,S,10/09/2009 01:15
CSTNH,T1,09/09/2009 23:45,FCO,S,10/09/2009 01:15
CSTNM,T1,09/09/2009 23:45,WAW,S,10/09/2009 01:15
CSTNN,T1,09/09/2009 23:45,ORY,S,10/09/2009 01:15
CSTJF,T1,09/09/2009 23:45,FNC,S,10/09/2009 01:15
CSTNI,T1,09/09/2009 23:45,GVA,S,10/09/2009 01:15
CSTTA,T1,09/09/2009 23:45,MAD,S,10/09/2009 01:15
CSTTI,T2,09/09/2009 23:45,FNC,S,10/09/2009 02:15
CSTNJ,T1,09/09/2009 23:45,LIS,S,10/09/2009 02:15
CSTNK,T1,09/09/2009 23:45,LIS,S,10/09/2009 02:15
CSTNP,T1,09/09/2009 23:45,LIS,S,10/09/2009 02:15
CSTNR,T1,09/09/2009 23:45,LIS,S,10/09/2009 02:15
CSTJG,T1,09/09/2009 23:45,LIS,S,10/09/2009 02:15
CSTTF,T1,09/09/2009 23:45,LIS,S,10/09/2009 03:15
CSTNQ,T1,10/09/2009 00:00,LHR,S,10/09/2009 01:30
CSTGV,W,10/09/2009 00:00,LIS,S,10/09/2009 02:00
CSTTR,A,10/09/2009 00:00,LIS,S,10/09/2009 23:59
CSTKI,T1+ET,10/09/2009 00:15,LIS,S,10/09/2009 03:15
CSTKJ,36,10/09/2009 00:30,FNC,S,10/09/2009 02:30
FRAJA,T1,10/09/2009 02:00,CDG,S,10/09/2009 08:00
CSTGV,VT,10/09/2009 02:05,LIS,S,10/09/2009 15:00
FRAJA,PURGAS,10/09/2009 02:30,CDG,S,10/09/2009 04:30
CSTKM,36,10/09/2009 03:00,LIS,S,10/09/2009 05:00
CSTKL,36,10/09/2009 04:00,LIS,S,10/09/2009 06:00
CSTON,T1+ET,10/09/2009 06:00,LIS,S,10/09/2009 08:00
CSTOO,T1+ET,10/09/2009 07:00,LIS,S,10/09/2009 14:00
CSTEJ,VT,10/09/2009 07:00,LIS,S,12/09/2009 05:00
CSTOG,T2+ET,10/09/2009 07:15,LIS,S,10/09/2009 10:15
CSTTC,VT,10/09/2009 07:45,LIS,S,10/09/2009 08:25
CSTOM,T1+ET,10/09/2009 08:00,OPO,S,10/09/2009 10:00
CSTOA,T1,10/09/2009 08:00,LIS,S,10/09/2009 21:30
CSTOI,PURGAS,10/09/2009 10:00,LIS,S,10/09/2009 11:30
CSTGU,W+ET,10/09/2009 10:00,OPO,S,10/09/2009 15:00
CSTNQ,A,10/09/2009 10:05,LIS,S,11/09/2009 09:15
CSTDI,PURGAS,10/09/2009 11:00,LIS,S,10/09/2009 13:00
CSTOP,T2,10/09/2009 11:00,LIS,S,10/09/2009 15:00
CSTKN,36+ET,10/09/2009 11:15,LIS,S,10/09/2009 13:15
CSTOL,PURGAS,10/09/2009 11:53,LIS,S,10/09/2009 12:50
CSTOI,T1+ET,10/09/2009 12:00,LIS,S,10/09/2009 14:00
CSTOK,T1+ET,10/09/2009 12:45,LIS,S,10/09/2009 14:45
CSTOL,T1+ET,10/09/2009 12:55,LIS,S,10/09/2009 14:55
CSTKM,ETOPS,10/09/2009 13:00,LIS,S,10/09/2009 14:00
CSTDI,T2+ET,10/09/2009 14:00,LIS,S,10/09/2009 18:00
CSTTP,T1,10/09/2009 14:00,LIS,S,11/09/2009 04:00
CSTTG,VT,10/09/2009 14:15,LIS,S,10/09/2009 14:45
CSTQD,T1,10/09/2009 15:00,LIS,S,10/09/2009 18:00
CSTNN,T2,10/09/2009 15:45,LIS,S,10/09/2009 18:45
CSTTH,T1,10/09/2009 16:00,LIS,S,10/09/2009 17:45
CSTOJ,PURGAS,10/09/2009 16:00,LIS,S,10/09/2009 18:00
CSTTC,VT,10/09/2009 16:38,LIS,S,10/09/2009 17:00
CSTTC,VT,10/09/2009 17:01,LIS,S,10/09/2009 17:40
CSTTG,VT,10/09/2009 17:15,LIS,S,10/09/2009 18:45
CSTOB,T1,10/09/2009 17:30,LIS,S,10/09/2009 19:30
CSTMW,T1,10/09/2009 17:40,LIS,S,10/09/2009 18:45
CSTOA,T1,10/09/2009 19:00,LIS,S,10/09/2009 21:00
CSTOF,T1+ET,10/09/2009 19:00,LIS,S,10/09/2009 22:00
CSTOJ,T1+ET,10/09/2009 19:30,LIS,S,10/09/2009 21:30
CSTJE,T1,10/09/2009 20:00,LIS,S,10/09/2009 21:15
CSTOL,T1+ET,10/09/2009 20:00,LIS,S,10/09/2009 22:00
CSTOF,T1+ET,10/09/2009 20:00,LIS,S,10/09/2009 22:00
CSTTA,VT,10/09/2009 20:05,LIS,S,10/09/2009 20:40
CSTTD,T1,10/09/2009 20:05,LIS,S,10/09/2009 21:05
CSTTI,T1,10/09/2009 20:41,LIS,S,10/09/2009 21:19
CSTJG,T1,10/09/2009 23:00,LIS,S,11/09/2009 02:00
CSTKI,T1+ET,10/09/2009 23:30,LIS,S,11/09/2009 02:30
CSTTO,T1,10/09/2009 23:45,LIS,S,11/09/2009 01:15
CSTTJ,T1,10/09/2009 23:45,BCN,S,11/09/2009 01:15
CSTTB,T1,10/09/2009 23:45,MAD,S,11/09/2009 01:15
CSTTC,T1,10/09/2009 23:45,ORY,S,11/09/2009 01:15
CSTTE,T1,10/09/2009 23:45,LIS,S,11/09/2009 01:15
CSTTF,T1,10/09/2009 23:45,HAM,S,11/09/2009 01:15
CSTTG,T1,10/09/2009 23:45,LIN,S,11/09/2009 01:15
CSTTA,T1,10/09/2009 23:45,FNC,S,11/09/2009 01:15
CSTTK,T1,10/09/2009 23:45,FAO,S,11/09/2009 01:15
CSTTL,T1,10/09/2009 23:45,CPH,S,11/09/2009 01:15
CSTTM,T1,10/09/2009 23:45,BRU,S,11/09/2009 01:15
CSTTN,T1,10/09/2009 23:45,OPO,S,11/09/2009 01:15
CSTTQ,T1,10/09/2009 23:45,ORY,S,11/09/2009 01:15
CSTTS,T1,10/09/2009 23:45,FNC,S,11/09/2009 01:15
CSTNA,T1,10/09/2009 23:45,FCO,S,11/09/2009 01:15
CSTNH,T1,10/09/2009 23:45,LHR,S,11/09/2009 01:15
