tail_number,checkTypeCode,scheduleStart,airport,status,scheduleEnd
CSTOL,T1+ET,02/09/2009 06:35,LIS,S,02/09/2009 08:15
CSTOP,PURGAS,02/09/2009 06:35,LIS,S,02/09/2009 11:55
CSTOO,T1+ET,02/09/2009 07:00,LIS,S,02/09/2009 09:00
CSTON,T1+ET,02/09/2009 07:15,LIS,S,02/09/2009 08:30
CSTOI,T1+ET,02/09/2009 08:00,OPO,S,02/09/2009 09:30
CSTQD,T2,02/09/2009 09:00,LIS,S,02/09/2009 11:20
CSTOK,T1+ET,02/09/2009 11:00,LIS,S,02/09/2009 13:00
CSTGV,W+ET,02/09/2009 11:25,LIS,S,02/09/2009 13:10
CSTOJ,T1+ET,02/09/2009 11:45,LIS,S,02/09/2009 13:45
CSTOP,T1+ET,02/09/2009 12:00,LIS,S,02/09/2009 14:30
CSTOG,MESLOT,02/09/2009 12:01,LIS,S,02/09/2009 23:59
CSTTP,RIB_5,02/09/2009 12:30,LIS,S,02/09/2009 13:10
CSTOH,T1+ET,02/09/2009 14:00,LIS,S,02/09/2009 18:00
CSTNI,T2,02/09/2009 15:30,LIS,S,02/09/2009 17:45
CSTJG,T1,02/09/2009 17:00,LIS,S,03/09/2009 01:15
CSTTB,VT,02/09/2009 17:15,LIS,S,02/09/2009 18:15
CSTNP,T1,02/09/2009 17:45,LIS,S,02/09/2009 18:45
CSTTG,T1,02/09/2009 18:30,LIS,S,02/09/2009 20:00
CSTOC,T2,02/09/2009 19:00,LIS,S,02/09/2009 21:00
CSTTA,VT,02/09/2009 20:05,LIS,S,02/09/2009 20:35
CSTJF,T1,02/09/2009 20:05,LIS,S,02/09/2009 20:55
CSTNA,T1,02/09/2009 20:05,LIS,S,02/09/2009 21:05
CSTNL,T1,02/09/2009 20:05,LIS,S,02/09/2009 21:05
CSTNB,T1,02/09/2009 20:06,LIS,S,02/09/2009 21:09
CSTOB,PURGAS,02/09/2009 21:00,LIS,S,02/09/2009 23:00
CSTNE,T1,02/09/2009 21:00,LIS,S,03/09/2009 02:15
CSTTC,T1,02/09/2009 21:45,LIS,S,03/09/2009 01:15
CSTTD,T2,02/09/2009 22:45,LIS,S,03/09/2009 03:00
CSTKN,36+ET,02/09/2009 22:50,YYZ,S,03/09/2009 00:30
CSTKJ,36,02/09/2009 23:00,FNC,S,03/09/2009 03:00
CSTJE,T1,02/09/2009 23:00,LIS,S,03/09/2009 04:30
CSTNN,T2,02/09/2009 23:15,LIS,S,03/09/2009 04:00
CSTNG,T1,02/09/2009 23:30,OPO,S,03/09/2009 01:00
CSTQK,T2,02/09/2009 23:30,LIS,S,03/09/2009 03:00
CSTTA,T1,02/09/2009 23:45,FNC,S,03/09/2009 01:15
CSTTB,T1,02/09/2009 23:45,AMS,S,03/09/2009 01:15
CSTTE,T1,02/09/2009 23:45,HAM,S,03/09/2009 01:15
CSTTF,T1,02/09/2009 23:45,FNC,S,03/09/2009 01:15
CSTTH,T1,02/09/2009 23:45,ZRH,S,03/09/2009 01:15
CSTTJ,T1,02/09/2009 23:45,GVA,S,03/09/2009 01:15
CSTTK,T1,02/09/2009 23:45,MAD,S,03/09/2009 01:15
CSTTL,T1,02/09/2009 23:45,CDG,S,03/09/2009 01:15
CSTTM,T1,02/09/2009 23:45,BRU,S,03/09/2009 01:15
CSTTO,T1,02/09/2009 23:45,OPO,S,03/09/2009 01:15
CSTTP,T1,02/09/2009 23:45,FAO,S,03/09/2009 01:15
CSTTR,T1,02/09/2009 23:45,FNC,S,03/09/2009 01:15
CSTTS,T1,02/09/2009 23:45,FRA,S,03/09/2009 01:15
CSTNH,T1,02/09/2009 23:45,LIN,S,03/09/2009 01:15
CSTNI,T1,02/09/2009 23:45,FCO,S,03/09/2009 01:15
CSTNM,T1,02/09/2009 23:45,WAW,S,03/09/2009 01:15
CSTNK,T1,02/09/2009 23:45,ORY,S,03/09/2009 01:15
CSTNQ,T1,02/09/2009 23:45,LHR,S,03/09/2009 01:15
CSTNR,T1,02/09/2009 23:45,LHR,S,03/09/2009 01:15
CSTNJ,T1,02/09/2009 23:45,MUC,S,03/09/2009 01:15
CSTQD,T1,02/09/2009 23:45,BCN,S,03/09/2009 01:15
CSTTQ,T1,02/09/2009 23:45,ORY,S,03/09/2009 01:15
CSTTN,T1,02/09/2009 23:59,CPH,S,03/09/2009 02:00
CSTMW,A,03/09/2009 00:00,LIS,S,03/09/2009 23:59
CSTFU,T2,03/09/2009 00:30,LIS,S,03/09/2009 04:00
CSTKK,36,03/09/2009 01:15,LIS,S,03/09/2009 03:15
CSTKI,T1,03/09/2009 03:00,LIS,S,03/09/2009 05:00
CSTEJ,T1,03/09/2009 03:00,LIS,S,03/09/2009 05:00
CSTGU,W+ET,03/09/2009 03:30,LIS,S,03/09/2009 05:15
CSTKL,36,03/09/2009 04:30,LIS,S,03/09/2009 06:30
CSTOD,T1,03/09/2009 05:30,LIS,S,03/09/2009 07:30
CSTOF,T1+ET,03/09/2009 05:45,LIS,S,03/09/2009 07:45
CSTON,T1+ET,03/09/2009 05:45,LIS,S,03/09/2009 08:00
CSTOJ,T1+ET,03/09/2009 06:15,LIS,S,03/09/2009 08:15
CSTOG,T1+ET,03/09/2009 06:30,LIS,S,03/09/2009 08:30
