Voo,Origem,Destino,Tipo_Aviao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
349,LGW,FNC,319,9/7/2009 15:20,9/7/2009 19:15,15,113,21,90
1626,FNC,LIS,319,9/7/2009 15:25,9/7/2009 17:00,15,113,0,113
468,OPO,ORY,319,9/7/2009 15:40,9/7/2009 17:50,15,113,0,95
1580,FNC,OPO,319,9/7/2009 15:50,9/7/2009 17:45,15,113,0,107
1975,OPO,LIS,320,9/7/2009 15:55,9/7/2009 16:50,14,143,3,49
743,BCN,LIS,319,9/7/2009 16:05,9/7/2009 18:05,15,113,4,85
752,LIS,BCN,320,9/7/2009 16:05,9/7/2009 17:55,14,143,1,94
1639,LIS,FNC,320,9/7/2009 16:05,9/7/2009 17:55,14,143,6,119
502,LIS,CPH,319,9/7/2009 16:15,9/7/2009 20:00,15,113,1,85
1912,FAO,LIS,319,9/7/2009 16:15,9/7/2009 17:00,15,113,2,99
1632,FNC,LIS,319,9/7/2009 16:45,9/7/2009 18:20,15,113,2,104
661,AMS,LIS,321,9/7/2009 17:00,9/7/2009 20:00,14,143,4,104
719,MAD,LIS,319,9/7/2009 17:00,9/7/2009 18:15,15,113,6,66
843,FCO,LIS,319,9/7/2009 17:00,9/7/2009 20:00,14,143,5,101
805,MXP,LIS,320,9/7/2009 17:15,9/7/2009 20:00,14,143,8,96
1827,LIS,TER,320,9/7/2009 17:15,9/7/2009 19:55,14,143,1,103
615,BRU,LIS,319,9/7/2009 17:30,9/7/2009 20:10,15,113,5,95
358,LIS,LHR,320,9/7/2009 17:35,9/7/2009 20:25,14,143,10,133
271,LIS,JNB,343,9/7/2009 17:40,9/8/2009 4:10,36,232,22,84
448,LIS,ORY,319,9/7/2009 17:45,9/7/2009 20:15,15,113,9,113
566,LIS,HAM,320,9/7/2009 17:45,9/7/2009 21:00,14,143,0,77
836,LIS,FCO,320,9/7/2009 17:55,9/7/2009 20:50,0,162,0,130
928,LIS,ZRH,319,9/7/2009 18:00,9/7/2009 20:50,15,113,2,84
552,LIS,MUC,320,9/7/2009 18:05,9/7/2009 21:15,14,143,2,143
578,LIS,FRA,319,9/7/2009 18:10,9/7/2009 21:15,15,113,1,111
662,LIS,AMS,320,9/7/2009 18:20,9/7/2009 21:15,14,143,0,104
458,OPO,ORY,319,9/7/2009 18:30,9/7/2009 20:40,15,113,1,97
455,ORY,OPO,319,9/7/2009 18:35,9/7/2009 20:40,15,113,1,101
1664,FNC,LIS,320,9/7/2009 18:35,9/7/2009 20:10,14,143,0,142
741,BCN,LIS,320,9/7/2009 18:40,9/7/2009 20:40,14,143,3,87
618,LIS,BRU,319,9/7/2009 18:45,9/7/2009 21:30,15,113,3,83
826,LIS,LIN,320,9/7/2009 18:50,9/7/2009 21:30,14,143,8,142
942,LIS,GVA,319,9/7/2009 18:50,9/7/2009 21:15,15,113,1,67
362,LIS,LHR,320,9/7/2009 18:55,9/7/2009 21:45,14,143,6,120
724,LIS,MAD,319,9/7/2009 19:05,9/7/2009 20:20,15,113,1,56
740,LIS,BCN,319,9/7/2009 19:05,9/7/2009 20:55,15,113,3,84
138,CNF,LIS,332,9/7/2009 20:00,9/8/2009 5:15,24,244,7,180
1684,FNC,LIS,319,9/7/2009 20:00,9/7/2009 21:35,0,132,0,120
172,BSB,LIS,332,9/7/2009 20:05,9/8/2009 5:20,24,239,14,228
196,GRU,LIS,343,9/7/2009 20:10,9/8/2009 5:55,36,232,29,232
180,GIG,LIS,332,9/7/2009 20:20,9/8/2009 5:55,24,239,24,230
1739,LIS,PXO,319,9/7/2009 20:20,9/7/2009 22:05,15,113,1,100
156,SSA,LIS,332,9/7/2009 20:25,9/8/2009 4:40,24,239,15,229
1685,LIS,FNC,320,9/7/2009 20:45,9/7/2009 22:35,14,143,0,137
1828,TER,LIS,320,9/7/2009 20:45,9/7/2009 22:59,14,143,2,116
1982,LIS,OPO,319,9/7/2009 20:45,9/7/2009 21:40,15,113,0,63
264,MPM,LIS,332,9/7/2009 20:55,9/8/2009 8:05,24,244,10,161
209,LIS,DKR,321,9/7/2009 21:00,9/8/2009 1:10,14,178,4,103
215,LIS,RAI,319,9/7/2009 21:10,9/8/2009 1:20,15,110,7,61
217,LIS,SID,319,9/7/2009 21:10,9/8/2009 1:15,15,110,2,37
257,LIS,LAD,343,9/7/2009 21:10,9/8/2009 4:50,36,232,36,230
1581,OPO,FNC,319,9/7/2009 21:25,9/7/2009 23:25,15,113,1,100
1917,LIS,FAO,320,9/7/2009 21:25,9/7/2009 22:10,14,143,2,60
1693,LIS,FNC,319,9/7/2009 21:35,9/7/2009 23:25,15,113,2,105
104,EWR,LIS,343,9/7/2009 22:00,9/8/2009 5:15,36,232,18,75
130,CCS,LIS,332,9/7/2009 22:35,9/8/2009 6:50,24,244,6,147
1740,PXO,LIS,319,9/7/2009 22:50,9/8/2009 0:20,15,113,0,105
114,EWR,OPO,332,9/8/2009 0:05,9/8/2009 7:15,24,244,8,127
176,GIG,LIS,332,9/8/2009 1:50,9/8/2009 11:25,24,239,13,177
194,GRU,LIS,332,9/8/2009 1:50,9/8/2009 11:35,24,244,17,229
210,DKR,LIS,321,9/8/2009 2:10,9/8/2009 6:05,0,197,0,171
152,REC,LIS,332,9/8/2009 2:50,9/8/2009 10:20,24,239,13,164
835,FCO,LIS,320,9/8/2009 4:20,9/8/2009 7:20,14,143,1,72
611,BRU,LIS,319,9/8/2009 4:25,9/8/2009 7:05,15,113,2,96
667,AMS,LIS,320,9/8/2009 4:25,9/8/2009 7:25,14,143,2,76
751,BCN,LIS,319,9/8/2009 4:35,9/8/2009 6:35,15,113,0,67
829,LIN,LIS,320,9/8/2009 4:35,9/8/2009 7:25,14,143,2,50
429,CDG,LIS,319,9/8/2009 4:55,9/8/2009 7:25,15,113,4,44
459,ORY,OPO,319,9/8/2009 5:00,9/8/2009 7:05,15,113,1,84
1602,FNC,LIS,320,9/8/2009 5:00,9/8/2009 6:35,14,143,8,143
1951,OPO,LIS,320,9/8/2009 5:05,9/8/2009 6:00,14,143,13,140
1948,LIS,OPO,320,9/8/2009 5:10,9/8/2009 6:05,14,143,0,7
1900,FAO,LIS,320,9/8/2009 5:15,9/8/2009 6:00,14,143,3,83
441,ORY,LIS,319,9/8/2009 5:20,9/8/2009 7:45,15,113,3,60
464,OPO,ORY,319,9/8/2009 6:05,9/8/2009 8:10,15,113,13,112
711,MAD,LIS,319,9/8/2009 6:05,9/8/2009 7:20,15,113,8,87
748,LIS,BCN,319,9/8/2009 6:05,9/8/2009 7:55,15,113,2,67
1572,FNC,OPO,319,9/8/2009 6:05,9/8/2009 8:00,15,113,0,98
272,JNB,LIS,343,9/8/2009 6:10,9/8/2009 17:00,36,232,4,76
604,LIS,BRU,319,9/8/2009 6:15,9/8/2009 9:00,14,143,2,61
834,LIS,FCO,320,9/8/2009 6:15,9/8/2009 9:10,14,143,4,119
424,LIS,CDG,319,9/8/2009 6:20,9/8/2009 8:55,15,113,6,105
1604,FNC,LIS,319,9/8/2009 6:40,9/8/2009 8:15,15,113,14,113
354,LIS,LHR,320,9/8/2009 6:45,9/8/2009 9:35,14,143,5,120
1953,OPO,LIS,320,9/8/2009 6:45,9/8/2009 7:40,14,143,10,121
432,LIS,ORY,321,9/8/2009 6:55,9/8/2009 9:25,14,178,4,107
668,LIS,AMS,320,9/8/2009 6:55,9/8/2009 9:45,15,113,7,81
920,LIS,ZRH,319,9/8/2009 6:55,9/8/2009 9:40,15,113,3,86
806,LIS,MXP,320,9/8/2009 7:00,9/8/2009 9:35,14,143,4,130
856,LIS,BLQ,320,9/8/2009 7:05,9/8/2009 9:50,14,143,0,112
1821,LIS,TER,321,9/8/2009 7:05,9/8/2009 9:45,14,178,5,81
1861,LIS,PDL,321,9/8/2009 7:05,9/8/2009 9:35,14,178,4,147
1952,LIS,OPO,320,9/8/2009 7:10,9/8/2009 8:05,14,143,14,89
1609,LIS,FNC,319,9/8/2009 7:25,9/8/2009 9:10,0,132,0,119
570,LIS,FRA,320,9/8/2009 7:35,9/8/2009 10:40,14,143,12,119
946,LIS,GVA,319,9/8/2009 7:50,9/8/2009 10:15,15,113,0,73
1573,OPO,FNC,319,9/8/2009 7:50,9/8/2009 9:50,15,113,5,102
500,LIS,ARN,320,9/8/2009 8:05,9/8/2009 12:25,14,143,2,68
712,LIS,MAD,319,9/8/2009 8:05,9/8/2009 9:20,15,113,4,70
746,LIS,BCN,319,9/8/2009 8:05,9/8/2009 9:55,15,113,1,86
530,LIS,PRG,320,9/8/2009 8:10,9/8/2009 11:30,14,143,0,105
1615,LIS,FNC,320,9/8/2009 8:15,9/8/2009 10:05,14,143,1,117
191,LIS,GRU,343,9/8/2009 8:25,9/8/2009 18:40,36,232,28,153
504,LIS,CPH,319,9/8/2009 8:25,9/8/2009 12:10,15,113,1,68
506,LIS,OSL,320,9/8/2009 8:25,9/8/2009 12:25,14,143,7,56
838,LIS,FCO,320,9/8/2009 8:25,9/8/2009 11:20,14,143,12,143
536,LIS,BUD,320,9/8/2009 8:30,9/8/2009 12:10,14,143,9,110
558,LIS,MUC,319,9/8/2009 8:30,9/8/2009 11:40,15,113,4,108
560,LIS,HAM,319,9/8/2009 8:30,9/8/2009 11:50,15,113,2,60
872,LIS,VCE,320,9/8/2009 8:30,9/8/2009 11:30,14,143,1,132
179,LIS,GIG,332,9/8/2009 8:35,9/8/2009 18:50,24,239,17,108
434,LIS,ORY,319,9/8/2009 8:35,9/8/2009 11:05,15,113,15,113
1907,LIS,FAO,320,9/8/2009 8:35,9/8/2009 9:20,14,143,2,90
749,BCN,LIS,319,9/8/2009 8:40,9/8/2009 10:40,15,113,2,83
938,OPO,GVA,319,9/8/2009 8:50,9/8/2009 11:10,15,113,2,78
173,LIS,BSB,332,9/8/2009 8:55,9/8/2009 18:35,24,239,19,140
451,ORY,OPO,319,9/8/2009 8:55,9/8/2009 11:00,15,113,0,66
352,LIS,LHR,319,9/8/2009 9:00,9/8/2009 11:50,15,113,5,112
608,LIS,BRU,319,9/8/2009 9:00,9/8/2009 11:45,15,113,3,77
916,OPO,ZRH,320,9/8/2009 9:00,9/8/2009 11:35,14,143,1,106
425,CDG,LIS,319,9/8/2009 9:40,9/8/2009 12:20,15,113,1,57
159,LIS,SSA,332,9/8/2009 9:45,9/8/2009 18:30,24,239,5,96
605,BRU,LIS,319,9/8/2009 9:45,9/8/2009 12:35,14,143,1,104
837,FCO,LIS,320,9/8/2009 9:55,9/8/2009 12:55,14,143,3,86
1614,FNC,LIS,319,9/8/2009 9:55,9/8/2009 11:30,15,113,9,113
1908,FAO,LIS,320,9/8/2009 10:00,9/8/2009 10:45,14,143,0,78
121,LIS,CCS,332,9/8/2009 10:10,9/8/2009 19:20,24,244,17,244
437,ORY,LIS,321,9/8/2009 10:10,9/8/2009 12:35,14,178,2,96
803,MXP,LIS,320,9/8/2009 10:20,9/8/2009 13:00,14,143,3,100
665,AMS,LIS,320,9/8/2009 10:30,9/8/2009 13:35,15,113,0,109
1574,FNC,OPO,319,9/8/2009 10:30,9/8/2009 12:25,15,113,1,94
103,LIS,EWR,332,9/8/2009 10:35,9/8/2009 19:05,24,244,20,230
857,BLQ,LIS,320,9/8/2009 10:35,9/8/2009 13:35,14,143,1,122
1822,TER,LIS,321,9/8/2009 10:35,9/8/2009 12:50,14,178,3,136
1621,LIS,FNC,320,9/8/2009 10:40,9/8/2009 12:30,14,143,4,94
348,FNC,LGW,320,9/8/2009 10:45,9/8/2009 14:30,14,143,6,128
714,LIS,MAD,319,9/8/2009 10:50,9/8/2009 12:05,15,113,13,112
713,MAD,LIS,319,9/8/2009 11:00,9/8/2009 12:15,15,113,2,79
1963,OPO,LIS,319,9/8/2009 11:40,9/8/2009 12:35,15,113,10,91
342,LIS,LGW,320,9/8/2009 11:45,9/8/2009 14:30,14,143,1,133
435,ORY,LIS,319,9/8/2009 11:50,9/8/2009 14:15,15,113,0,40
438,LIS,ORY,319,9/8/2009 12:15,9/8/2009 14:40,15,113,3,109
873,VCE,LIS,320,9/8/2009 12:15,9/8/2009 15:25,14,143,3,74
609,BRU,LIS,319,9/8/2009 12:30,9/8/2009 15:20,15,113,0,92
715,MAD,LIS,319,9/8/2009 12:50,9/8/2009 14:05,15,113,7,77
1627,LIS,FNC,319,9/8/2009 13:00,9/8/2009 14:45,15,113,0,70
501,ARN,LIS,320,9/8/2009 13:10,9/8/2009 17:35,14,143,2,108
507,OSL,LIS,320,9/8/2009 13:10,9/8/2009 17:20,14,143,3,84
1577,OPO,FNC,319,9/8/2009 13:10,9/8/2009 15:10,15,113,2,99
1620,FNC,LIS,320,9/8/2009 13:10,9/8/2009 14:45,14,143,7,138
576,LIS,FRA,319,9/8/2009 13:15,9/8/2009 16:20,15,113,12,101
660,LIS,AMS,321,9/8/2009 13:20,9/8/2009 16:15,14,143,3,110
842,LIS,FCO,319,9/8/2009 13:20,9/8/2009 16:15,15,113,5,113
356,LIS,LHR,321,9/8/2009 13:35,9/8/2009 16:25,14,178,16,148
926,LIS,ZRH,320,9/8/2009 13:40,9/8/2009 16:30,14,143,6,102
804,LIS,MXP,320,9/8/2009 13:50,9/8/2009 16:30,14,143,14,141
1970,LIS,OPO,320,9/8/2009 13:50,9/8/2009 14:45,14,143,10,89
165,LIS,FOR,332,9/8/2009 14:00,9/8/2009 21:30,24,239,12,159
614,LIS,BRU,319,9/8/2009 14:00,9/8/2009 16:45,15,113,2,89
175,LIS,GIG,332,9/8/2009 14:05,9/9/2009 0:20,24,244,6,101
1633,LIS,FNC,319,9/8/2009 14:15,9/8/2009 16:05,15,113,0,73
440,LIS,ORY,320,9/8/2009 14:20,9/8/2009 16:50,14,143,1,129
484,LIS,NCE,319,9/8/2009 14:20,9/8/2009 16:45,15,113,1,43
944,LIS,GVA,319,9/8/2009 14:20,9/8/2009 16:50,15,113,2,102
145,LIS,NAT,332,9/8/2009 14:45,9/8/2009 22:15,24,239,6,131
1913,LIS,FAO,319,9/8/2009 14:50,9/8/2009 15:35,15,113,2,82
153,LIS,REC,332,9/8/2009 15:00,9/8/2009 22:50,24,244,10,99
718,LIS,MAD,319,9/8/2009 15:00,9/8/2009 16:15,15,113,3,98
386,OPO,LHR,319,9/8/2009 15:05,9/8/2009 17:30,15,113,4,113
349,LGW,FNC,320,9/8/2009 15:20,9/8/2009 19:15,14,143,6,117
439,ORY,LIS,319,9/8/2009 15:25,9/8/2009 17:50,15,113,5,74
1972,LIS,OPO,320,9/8/2009 15:30,9/8/2009 16:25,14,143,14,50
468,OPO,ORY,320,9/8/2009 15:40,9/8/2009 17:50,14,143,11,141
580,LIS,WAW,320,9/8/2009 15:50,9/8/2009 19:45,14,143,3,100
1580,FNC,OPO,319,9/8/2009 15:50,9/8/2009 17:45,15,113,0,97
1825,LIS,TER,320,9/8/2009 15:50,9/8/2009 18:30,14,143,2,79
1975,OPO,LIS,320,9/8/2009 15:55,9/8/2009 16:50,14,143,2,100
752,LIS,BCN,321,9/8/2009 16:05,9/8/2009 17:55,14,181,2,137
1639,LIS,FNC,319,9/8/2009 16:05,9/8/2009 17:55,15,113,4,67
1912,FAO,LIS,319,9/8/2009 16:15,9/8/2009 17:00,15,113,5,113
428,LIS,CDG,319,9/8/2009 16:45,9/8/2009 19:20,15,113,4,82
1632,FNC,LIS,319,9/8/2009 16:45,9/8/2009 18:20,0,132,0,111
661,AMS,LIS,321,9/8/2009 17:00,9/8/2009 20:00,14,143,8,102
719,MAD,LIS,319,9/8/2009 17:00,9/8/2009 18:15,15,113,11,81
843,FCO,LIS,319,9/8/2009 17:00,9/8/2009 20:00,15,113,4,92
1977,OPO,LIS,320,9/8/2009 17:05,9/8/2009 18:00,14,143,2,53
805,MXP,LIS,320,9/8/2009 17:15,9/8/2009 20:00,14,143,13,98
1827,LIS,TER,319,9/8/2009 17:15,9/8/2009 19:55,15,113,0,110
615,BRU,LIS,319,9/8/2009 17:30,9/8/2009 20:10,15,113,3,110
358,LIS,LHR,320,9/8/2009 17:35,9/8/2009 20:25,14,143,14,119
445,ORY,LIS,320,9/8/2009 17:35,9/8/2009 20:00,14,143,6,123
448,LIS,ORY,320,9/8/2009 17:45,9/8/2009 20:15,14,143,5,103
566,LIS,HAM,320,9/8/2009 17:45,9/8/2009 21:00,14,143,0,87
836,LIS,FCO,320,9/8/2009 17:55,9/8/2009 20:50,0,162,0,145
928,LIS,ZRH,319,9/8/2009 18:00,9/8/2009 20:50,15,113,2,63
552,LIS,MUC,320,9/8/2009 18:05,9/8/2009 21:15,14,143,1,133
578,LIS,FRA,319,9/8/2009 18:10,9/8/2009 21:15,15,113,1,98
662,LIS,AMS,320,9/8/2009 18:20,9/8/2009 21:15,14,143,1,75
458,OPO,ORY,319,9/8/2009 18:30,9/8/2009 20:40,0,132,0,118
455,ORY,OPO,320,9/8/2009 18:35,9/8/2009 20:40,14,143,2,107
1664,FNC,LIS,319,9/8/2009 18:35,9/8/2009 20:10,15,113,10,113
741,BCN,LIS,321,9/8/2009 18:40,9/8/2009 20:40,14,181,0,110
618,LIS,BRU,319,9/8/2009 18:45,9/8/2009 21:30,15,113,1,80
826,LIS,LIN,319,9/8/2009 18:50,9/8/2009 21:30,15,113,1,95
942,LIS,GVA,319,9/8/2009 18:50,9/8/2009 21:15,15,113,1,61
362,LIS,LHR,320,9/8/2009 18:55,9/8/2009 21:45,14,143,5,125
724,LIS,MAD,319,9/8/2009 19:05,9/8/2009 20:20,15,113,7,75
740,LIS,BCN,319,9/8/2009 19:05,9/8/2009 20:55,15,113,2,86
1826,TER,LIS,320,9/8/2009 19:20,9/8/2009 21:35,14,143,0,58
172,BSB,LIS,332,9/8/2009 20:05,9/9/2009 5:20,24,239,11,215
196,GRU,LIS,343,9/8/2009 20:10,9/9/2009 5:55,36,232,34,171
180,GIG,LIS,332,9/8/2009 20:20,9/9/2009 5:50,24,239,24,189
156,SSA,LIS,332,9/8/2009 20:25,9/9/2009 4:40,24,239,23,239
1685,LIS,FNC,319,9/8/2009 20:45,9/8/2009 22:35,15,113,2,100
1828,TER,LIS,319,9/8/2009 20:45,9/8/2009 22:59,15,113,0,25
1982,LIS,OPO,319,9/8/2009 20:45,9/8/2009 21:40,15,113,0,51
130,CCS,LIS,332,9/8/2009 20:50,9/9/2009 5:05,24,244,1,112
209,LIS,DKR,320,9/8/2009 21:00,9/9/2009 1:10,14,143,3,98
215,LIS,RAI,319,9/8/2009 21:10,9/9/2009 1:20,15,110,4,59
217,LIS,SID,319,9/8/2009 21:10,9/9/2009 1:15,15,110,1,47
257,LIS,LAD,343,9/8/2009 21:10,9/9/2009 4:50,36,232,36,221
1581,OPO,FNC,319,9/8/2009 21:25,9/8/2009 23:25,0,132,0,115
1917,LIS,FAO,319,9/8/2009 21:25,9/8/2009 22:10,15,113,4,43
1693,LIS,FNC,321,9/8/2009 21:35,9/8/2009 23:25,14,178,0,77
104,EWR,LIS,332,9/8/2009 22:00,9/9/2009 5:15,24,244,24,92
164,FOR,LIS,332,9/8/2009 23:00,9/9/2009 6:00,24,239,8,199
146,NAT,LIS,332,9/8/2009 23:45,9/9/2009 7:00,24,239,12,179
176,GIG,LIS,332,9/9/2009 1:50,9/9/2009 11:25,24,244,22,130
210,DKR,LIS,320,9/9/2009 2:10,9/9/2009 6:05,14,143,13,137
152,REC,LIS,332,9/9/2009 2:50,9/9/2009 10:20,24,244,12,135
835,FCO,LIS,320,9/9/2009 4:20,9/9/2009 7:20,14,143,3,71
611,BRU,LIS,319,9/9/2009 4:25,9/9/2009 7:05,15,113,2,86
667,AMS,LIS,320,9/9/2009 4:25,9/9/2009 7:25,14,143,0,71
751,BCN,LIS,319,9/9/2009 4:35,9/9/2009 6:35,15,113,3,66
829,LIN,LIS,319,9/9/2009 4:35,9/9/2009 7:25,15,113,1,60
283,JNB,MPM,343,9/9/2009 4:50,9/9/2009 6:05,36,232,3,0
459,ORY,OPO,319,9/9/2009 5:00,9/9/2009 7:05,15,113,1,49
1951,OPO,LIS,320,9/9/2009 5:05,9/9/2009 6:00,14,143,5,132
1948,LIS,OPO,319,9/9/2009 5:10,9/9/2009 6:05,15,113,0,1
1900,FAO,LIS,319,9/9/2009 5:15,9/9/2009 6:00,15,113,0,104
441,ORY,LIS,320,9/9/2009 5:20,9/9/2009 7:45,14,143,1,106
464,OPO,ORY,319,9/9/2009 6:05,9/9/2009 8:10,0,132,0,107
711,MAD,LIS,319,9/9/2009 6:05,9/9/2009 7:20,15,113,4,55
748,LIS,BCN,320,9/9/2009 6:05,9/9/2009 7:55,14,143,1,98
1572,FNC,OPO,319,9/9/2009 6:05,9/9/2009 8:00,15,113,0,96
604,LIS,BRU,319,9/9/2009 6:15,9/9/2009 9:00,15,113,3,69
834,LIS,FCO,321,9/9/2009 6:15,9/9/2009 9:10,14,143,0,122
424,LIS,CDG,320,9/9/2009 6:20,9/9/2009 8:55,14,143,0,105
1604,FNC,LIS,321,9/9/2009 6:40,9/9/2009 8:15,14,178,14,181
354,LIS,LHR,320,9/9/2009 6:45,9/9/2009 9:35,14,143,4,119
1953,OPO,LIS,319,9/9/2009 6:45,9/9/2009 7:40,15,113,15,113
432,LIS,ORY,321,9/9/2009 6:55,9/9/2009 9:25,14,178,1,161
668,LIS,AMS,320,9/9/2009 6:55,9/9/2009 9:45,14,143,1,96
920,LIS,ZRH,319,9/9/2009 6:55,9/9/2009 9:40,15,113,2,63
806,LIS,MXP,320,9/9/2009 7:00,9/9/2009 9:35,14,181,2,123
1821,LIS,TER,320,9/9/2009 7:00,9/9/2009 9:40,14,143,2,68
1861,LIS,PDL,320,9/9/2009 7:00,9/9/2009 9:30,14,143,1,128
856,LIS,BLQ,319,9/9/2009 7:05,9/9/2009 9:50,15,113,1,106
864,LIS,ZAG,319,9/9/2009 7:05,9/9/2009 10:10,15,113,1,42
1952,LIS,OPO,320,9/9/2009 7:10,9/9/2009 8:05,14,143,11,56
1609,LIS,FNC,319,9/9/2009 7:25,9/9/2009 9:10,15,113,3,89
283,MPM,LIS,343,9/9/2009 7:30,9/9/2009 18:40,36,232,15,157
570,LIS,FRA,319,9/9/2009 7:35,9/9/2009 10:40,15,113,11,85
482,LIS,NCE,319,9/9/2009 7:50,9/9/2009 10:15,15,113,2,44
1573,OPO,FNC,319,9/9/2009 7:50,9/9/2009 9:50,15,113,0,93
500,LIS,ARN,319,9/9/2009 8:05,9/9/2009 12:25,15,113,0,87
712,LIS,MAD,319,9/9/2009 8:05,9/9/2009 9:20,15,113,5,83
746,LIS,BCN,319,9/9/2009 8:05,9/9/2009 9:55,15,113,2,96
530,LIS,PRG,319,9/9/2009 8:10,9/9/2009 11:30,15,113,4,93
1615,LIS,FNC,319,9/9/2009 8:15,9/9/2009 10:05,15,113,1,86
191,LIS,GRU,332,9/9/2009 8:25,9/9/2009 18:40,24,239,17,173
504,LIS,CPH,320,9/9/2009 8:25,9/9/2009 12:10,14,143,3,111
506,LIS,OSL,320,9/9/2009 8:25,9/9/2009 12:25,15,113,6,73
838,LIS,FCO,320,9/9/2009 8:25,9/9/2009 11:20,14,181,6,122
558,LIS,MUC,320,9/9/2009 8:30,9/9/2009 11:40,14,143,9,143
560,LIS,HAM,320,9/9/2009 8:30,9/9/2009 11:50,14,143,2,64
872,LIS,VCE,319,9/9/2009 8:30,9/9/2009 11:30,15,113,0,97
179,LIS,GIG,343,9/9/2009 8:35,9/9/2009 18:50,36,232,25,183
434,LIS,ORY,319,9/9/2009 8:35,9/9/2009 11:05,14,143,5,126
1907,LIS,FAO,320,9/9/2009 8:40,9/9/2009 9:20,14,143,6,77
139,LIS,CNF,332,9/9/2009 8:45,9/9/2009 18:25,24,239,4,186
938,OPO,GVA,320,9/9/2009 8:50,9/9/2009 11:10,14,143,0,76
173,LIS,BSB,332,9/9/2009 8:55,9/9/2009 18:35,24,244,17,194
451,ORY,OPO,319,9/9/2009 8:55,9/9/2009 11:00,15,113,0,53
352,LIS,LHR,320,9/9/2009 9:00,9/9/2009 11:50,14,143,9,123
608,LIS,BRU,321,9/9/2009 9:00,9/9/2009 11:45,14,143,1,114
916,OPO,ZRH,319,9/9/2009 9:00,9/9/2009 11:35,15,113,1,84
425,CDG,LIS,320,9/9/2009 9:40,9/9/2009 12:20,14,143,0,72
159,LIS,SSA,332,9/9/2009 9:45,9/9/2009 18:30,24,239,11,148
605,BRU,LIS,319,9/9/2009 9:45,9/9/2009 12:35,0,132,0,119
183,OPO,GIG,332,9/9/2009 9:50,9/9/2009 20:15,24,244,24,241
837,FCO,LIS,321,9/9/2009 9:55,9/9/2009 12:55,14,143,3,137
1614,FNC,LIS,319,9/9/2009 9:55,9/9/2009 11:30,15,113,13,113
1908,FAO,LIS,320,9/9/2009 10:00,9/9/2009 10:45,14,143,0,91
121,LIS,CCS,332,9/9/2009 10:10,9/9/2009 19:20,24,244,13,239
437,ORY,LIS,321,9/9/2009 10:10,9/9/2009 12:35,14,178,2,123
803,MXP,LIS,320,9/9/2009 10:20,9/9/2009 13:00,14,181,3,95
1860,PDL,LIS,320,9/9/2009 10:20,9/9/2009 12:30,14,143,2,143
665,AMS,LIS,320,9/9/2009 10:30,9/9/2009 13:35,14,143,2,140
1574,FNC,OPO,319,9/9/2009 10:30,9/9/2009 12:25,15,113,0,97
103,LIS,EWR,343,9/9/2009 10:35,9/9/2009 19:05,24,239,23,226
857,BLQ,LIS,319,9/9/2009 10:35,9/9/2009 13:35,15,113,0,105
1621,LIS,FNC,320,9/9/2009 10:40,9/9/2009 12:30,14,143,5,99
1822,TER,LIS,320,9/9/2009 10:40,9/9/2009 12:55,14,143,3,143
348,FNC,LGW,319,9/9/2009 10:45,9/9/2009 14:30,15,113,10,108
713,MAD,LIS,319,9/9/2009 11:00,9/9/2009 12:15,15,113,1,87
714,LIS,MAD,320,9/9/2009 11:20,9/9/2009 12:35,14,143,3,112
1963,OPO,LIS,319,9/9/2009 11:40,9/9/2009 12:35,15,113,13,113
342,LIS,LGW,320,9/9/2009 11:45,9/9/2009 14:30,14,143,0,115
435,ORY,LIS,319,9/9/2009 11:50,9/9/2009 14:15,14,143,5,45
839,FCO,LIS,320,9/9/2009 12:05,9/9/2009 15:05,14,181,3,96
438,LIS,ORY,319,9/9/2009 12:15,9/9/2009 14:40,15,113,1,89
873,VCE,LIS,319,9/9/2009 12:15,9/9/2009 15:25,15,113,0,109
609,BRU,LIS,321,9/9/2009 12:30,9/9/2009 15:20,14,143,0,98
1627,LIS,FNC,319,9/9/2009 13:00,9/9/2009 14:45,15,113,1,65
501,ARN,LIS,319,9/9/2009 13:10,9/9/2009 17:35,15,113,3,109
507,OSL,LIS,320,9/9/2009 13:10,9/9/2009 17:20,15,113,3,109
1577,OPO,FNC,319,9/9/2009 13:10,9/9/2009 15:10,15,113,0,105
1620,FNC,LIS,320,9/9/2009 13:10,9/9/2009 14:45,0,162,0,150
576,LIS,FRA,320,9/9/2009 13:15,9/9/2009 16:20,14,143,2,127
660,LIS,AMS,319,9/9/2009 13:20,9/9/2009 16:15,15,113,5,104
715,MAD,LIS,320,9/9/2009 13:20,9/9/2009 14:35,14,143,3,113
842,LIS,FCO,319,9/9/2009 13:20,9/9/2009 16:15,15,113,6,113
356,LIS,LHR,321,9/9/2009 13:35,9/9/2009 16:25,14,178,11,149
926,LIS,ZRH,320,9/9/2009 13:40,9/9/2009 16:30,14,143,2,118
804,LIS,MXP,320,9/9/2009 13:50,9/9/2009 16:30,14,143,5,138
1970,LIS,OPO,320,9/9/2009 13:50,9/9/2009 14:45,14,143,14,73
165,LIS,FOR,332,9/9/2009 14:00,9/9/2009 21:30,24,244,12,184
193,LIS,GRU,332,9/9/2009 14:00,9/10/2009 0:20,24,244,14,211
