Voo,Origem,Destino,Tipo_Aviao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
803,MXP,LIS,320,9/1/2009 10:20,9/1/2009 13:00,14,143,5,79
1860,PDL,LIS,321,9/1/2009 10:25,9/1/2009 12:30,14,178,11,179
665,AMS,LIS,320,9/1/2009 10:30,9/1/2009 13:35,14,143,0,121
1574,FNC,OPO,319,9/1/2009 10:30,9/1/2009 12:25,15,113,1,109
103,LIS,EWR,343,9/1/2009 10:35,9/1/2009 19:05,36,232,34,230
857,BLQ,LIS,319,9/1/2009 10:35,9/1/2009 13:35,15,113,1,83
1822,TER,LIS,321,9/1/2009 10:35,9/1/2009 12:50,14,178,4,180
745,BCN,LIS,319,9/1/2009 10:40,9/1/2009 12:40,15,113,4,93
1621,LIS,FNC,320,9/1/2009 10:40,9/1/2009 12:30,14,143,14,142
348,FNC,LGW,320,9/1/2009 10:45,9/1/2009 14:30,14,143,14,135
714,LIS,MAD,319,9/1/2009 10:50,9/1/2009 12:05,0,132,0,122
713,MAD,LIS,319,9/1/2009 11:00,9/1/2009 12:15,15,113,7,68
342,LIS,LGW,320,9/1/2009 11:45,9/1/2009 14:30,14,143,13,142
435,ORY,LIS,319,9/1/2009 11:50,9/1/2009 14:15,15,113,7,30
839,FCO,LIS,320,9/1/2009 12:05,9/1/2009 15:05,14,143,3,116
438,LIS,ORY,320,9/1/2009 12:15,9/1/2009 14:40,14,143,14,143
873,VCE,LIS,320,9/1/2009 12:15,9/1/2009 15:25,14,143,0,140
609,BRU,LIS,319,9/1/2009 12:30,9/1/2009 15:20,15,113,0,68
715,MAD,LIS,319,9/1/2009 12:50,9/1/2009 14:05,15,113,2,41
1627,LIS,FNC,319,9/1/2009 13:00,9/1/2009 14:45,0,132,0,121
501,ARN,LIS,320,9/1/2009 13:10,9/1/2009 17:35,14,143,0,78
507,OSL,LIS,319,9/1/2009 13:10,9/1/2009 17:20,15,113,1,88
1577,OPO,FNC,319,9/1/2009 13:10,9/1/2009 15:10,15,113,15,113
1620,FNC,LIS,320,9/1/2009 13:10,9/1/2009 14:45,14,143,7,143
576,LIS,FRA,319,9/1/2009 13:15,9/1/2009 16:20,15,113,1,105
660,LIS,AMS,321,9/1/2009 13:20,9/1/2009 16:15,14,178,1,165
842,LIS,FCO,319,9/1/2009 13:20,9/1/2009 16:15,15,113,15,113
