Voo,Origem,Destino,Configuracao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
856,LIS,BLQ,128,9/2/2009 7:05,9/2/2009 9:50,15,113,2,94
1609,LIS,FNC,128,9/2/2009 7:20,9/2/2009 9:10,15,113,2,95
1573,OPO,FNC,132,9/2/2009 7:50,9/2/2009 9:50,0,132,0,122
712,LIS,MAD,128,9/2/2009 8:05,9/2/2009 9:20,15,113,9,100
746,LIS,BCN,128,9/2/2009 8:05,9/2/2009 9:55,15,113,9,110
1615,LIS,FNC,128,9/2/2009 8:15,9/2/2009 10:05,15,113,1,98
434,LIS,ORY,128,9/2/2009 8:35,9/2/2009 11:05,15,113,15,112
749,BCN,LIS,128,9/2/2009 8:40,9/2/2009 10:40,15,113,7,89
451,ORY,OPO,128,9/2/2009 8:55,9/2/2009 11:00,15,113,0,47
605,BRU,LIS,128,9/2/2009 9:45,9/2/2009 12:35,15,113,3,98
1614,FNC,LIS,128,9/2/2009 9:55,9/2/2009 11:30,15,113,9,112
1574,FNC,OPO,128,9/2/2009 10:30,9/2/2009 12:25,15,113,3,110
857,BLQ,LIS,128,9/2/2009 10:35,9/2/2009 13:35,15,113,0,63
745,BCN,LIS,128,9/2/2009 10:40,9/2/2009 12:40,15,113,9,95
348,FNC,LGW,128,9/2/2009 10:45,9/2/2009 14:30,15,113,13,108
714,LIS,MAD,128,9/2/2009 10:50,9/2/2009 12:05,15,113,0,79
713,MAD,LIS,128,9/2/2009 11:00,9/2/2009 12:15,15,113,3,67
744,LIS,BCN,128,9/2/2009 11:25,9/2/2009 13:15,15,113,0,90
1963,OPO,LIS,128,9/2/2009 11:40,9/2/2009 12:35,15,113,6,112
435,ORY,LIS,128,9/2/2009 11:50,9/2/2009 14:15,15,113,1,31
438,LIS,ORY,128,9/2/2009 12:15,9/2/2009 14:40,15,113,15,113
715,MAD,LIS,128,9/2/2009 12:50,9/2/2009 14:05,15,113,6,56
1627,LIS,FNC,128,9/2/2009 13:00,9/2/2009 14:45,15,113,1,102
1577,OPO,FNC,128,9/2/2009 13:10,9/2/2009 15:10,15,113,15,113
842,LIS,FCO,128,9/2/2009 13:20,9/2/2009 16:15,15,113,14,113
742,LIS,BCN,128,9/2/2009 13:30,9/2/2009 15:20,15,113,0,82
614,LIS,BRU,128,9/2/2009 14:00,9/2/2009 16:45,15,113,1,103
747,BCN,LIS,128,9/2/2009 14:00,9/2/2009 16:00,15,113,0,86
1633,LIS,FNC,128,9/2/2009 14:15,9/2/2009 16:05,15,113,1,103
1913,LIS,FAO,128,9/2/2009 14:50,9/2/2009 15:35,15,113,0,66
718,LIS,MAD,128,9/2/2009 15:00,9/2/2009 16:15,15,113,2,70
349,LGW,FNC,128,9/2/2009 15:20,9/2/2009 19:15,15,113,11,99
439,ORY,LIS,128,9/2/2009 15:25,9/2/2009 17:45,15,113,5,53
1626,FNC,LIS,128,9/2/2009 15:25,9/2/2009 17:00,15,113,9,113
468,OPO,ORY,128,9/2/2009 15:40,9/2/2009 17:50,15,113,15,113
1580,FNC,OPO,128,9/2/2009 15:50,9/2/2009 17:45,15,113,3,112
743,BCN,LIS,128,9/2/2009 16:05,9/2/2009 18:05,15,113,3,88
752,LIS,BCN,128,9/2/2009 16:05,9/2/2009 17:55,15,113,0,99
1912,FAO,LIS,128,9/2/2009 16:15,9/2/2009 17:00,15,113,3,111
720,LIS,MAD,128,9/2/2009 16:40,9/2/2009 17:55,15,113,2,47
