origin,destination,distance_in_nautical_miles,distance_in_km
LIS,SSA,3505.87,6492.88
LIS,SVQ,173.07,320.52
LIS,SXF,1246.76,2310.54
LIS,TER,838.68,1553.24
LIS,TLS,555.96,1029.65
LIS,TNG,239.99,443.36
LIS,TUN,923.22,1709.8
LIS,VCE,1033.65,1914.32
LIS,VCP,4285.5,7936.75
LIS,VIE,1245.85,2308.85
LIS,VLC,405.76,751.47
LIS,VRA,3744.52,6934.85
LIS,VXE,1561.49,2891.88
LIS,WAW,1480.38,2741.66
LIS,ZAG,1188.63,2201.34
LIS,ZRH,929.98,1722.32
LJU,LIS,1131.82,2096.13
LJU,VCE,99.13,183.59
LPA,OPO,863.55,1599.3
LUX,LIS,923.47,1710.26
LUX,OPO,801.23,1483.89
LYS,LIS,754.94,1398.15
MAD,FNC,788.04,1459.44
MAD,LIS,276.92,512.86
MAD,OPO,236.66,438.29
MAN,LIS,921.05,1705.79
MAN,OPO,772.93,1431.47
MAO,BEL,701.91,1299.93
MAO,LIS,3772.42,6986.51
MED,LIS,2602.07,4819.04
MIA,LIS,3609.26,6684.35
MPM,JNB,233.81,433.01
MPM,LAD,1506.85,2790.68
MPM,LIS,4532.32,8393.86
MRS,LIS,705.26,1306.14
MUC,FAO,1099.8,2036.83
MUC,LIS,1070.55,1982.66
MXP,LIS,891.2,1650.51
MXP,OPO,800.76,1483.01
NAT,LIS,3048.81,5646.39
NAT,OPO,3188.66,5905.39
NCE,LIS,792.38,1467.48
NTE,LIS,602.26,1115.38
OPO,AMS,861.15,1594.85
OPO,BCN,484.81,897.87
OPO,BRU,795.53,1473.32
OPO,CCS,3562.03,6596.89
OPO,CDG,664.59,1230.82
OPO,DUS,877.58,1625.28
OPO,EWR,2893.05,5357.93
OPO,FAO,255.42,473.03
OPO,FCO,937.98,1737.14
OPO,FNC,642.32,1189.58
OPO,GIG,4297.47,7958.91
OPO,GRU,4413.41,8173.64
OPO,GVA,702.54,1301.11
OPO,IBZ,483.41,895.28
OPO,LGW,690.34,1278.51
OPO,LHR,701.41,1299.01
OPO,LIS,149.16,276.24
OPO,LUX,801.23,1483.89
OPO,MAD,236.66,438.29
OPO,MAN,772.93,1431.47
OPO,MXP,800.76,1483.01
OPO,NAT,3188.66,5905.39
OPO,OPO,0,0
OPO,ORY,648.45,1200.93
OPO,PXO,611.46,1132.43
OPO,SCQ,100.34,185.83
OPO,TER,859.04,1590.94
OPO,TUN,917.28,1698.8
OPO,VGO,59.21,109.66
OPO,VLC,389.89,722.08
OPO,ZRH,825.6,1529.01
ORY,LIS,776.29,1437.7
ORY,OPO,648.45,1200.93
OSL,LIS,1494.34,2767.52
OTP,LIS,1606,2974.31
OVD,LIS,319.94,592.52
OXB,LIS,1650.27,3056.29
PDL,LIS,781.75,1447.8
PIX,TER,64.49,119.43
PNA,LIS,415.93,770.31
POA,LIS,4757.02,8810
PRG,BUD,254.12,470.63
PRG,LIS,1202.79,2227.57
PTY,BOG,408.49,756.53
PTY,LIS,4145.76,7677.94
PUJ,LIS,3282.96,6080.05
PXO,FNC,31.25,57.87
PXO,LIS,489.59,906.72
PXO,OPO,611.46,1132.43
RAI,LIS,1618.36,2997.2
RAK,ACC,1615.37,2997.66
RAK,LIS,434.59,804.86
RAK,MED,2542.67,4709.02
REC,LIS,3160.22,5852.73
SCQ,LGW,597.77,1107.07
SID,CNF,2510,4655.93
SID,LIS,1507.55,2791.99
SSA,LIS,3505.87,6492.88
SVQ,LIS,173.07,320.52
SXF,LIS,1246.76,2310.54
TER,LIS,838.68,1553.24
TER,OPO,859.04,1590.94
TLS,LIS,555.96,1029.65
TMS,ACC,518.89,960.99
TNG,LIS,239.99,443.36
TUN,LIS,923.22,1709.8
TUN,OPO,917.28,1698.8
